program_id;overlap_count;signature_length;jaccard_index
166;5;30;0.1667
554;5;30;0.1667
1464;5;30;0.1667
6632;6;30;0.2000
6858;5;30;0.1667
11545;5;30;0.1667
20847;5;30;0.1667
23054;5;30;0.1667
25765;5;30;0.1667
27982;5;30;0.1667
28303;5;30;0.1667
37569;5;30;0.1667
38408;6;30;0.2000
62389;6;30;0.2000
63782;5;30;0.1667
69909;5;30;0.1667
73731;5;30;0.1667
74551;5;30;0.1667
74554;5;30;0.1667
74557;5;30;0.1667
74559;5;30;0.1667
74560;5;30;0.1667
80600;5;30;0.1667
84103;5;30;0.1667
84172;5;30;0.1667
84175;5;30;0.1667
87719;5;30;0.1667
95311;6;30;0.2000
96484;5;30;0.1667
98460;5;30;0.1667
98703;5;30;0.1667
98924;6;30;0.2000
109116;5;30;0.1667
123950;5;30;0.1667
124156;5;30;0.1667
128055;5;30;0.1667
133898;6;30;0.2000
137340;5;30;0.1667
144454;6;30;0.2000
154377;6;30;0.2000
158127;5;30;0.1667
158633;5;30;0.1667
158640;5;30;0.1667
158655;5;30;0.1667
158657;5;30;0.1667
158667;5;30;0.1667
158668;5;30;0.1667
158679;5;30;0.1667
158680;5;30;0.1667
158735;5;30;0.1667
158743;5;30;0.1667
158744;5;30;0.1667
165378;5;30;0.1667
167573;5;30;0.1667
171960;5;30;0.1667
173497;5;30;0.1667
176414;5;30;0.1667
180713;6;30;0.2000
182767;5;30;0.1667
184581;5;30;0.1667
184631;5;30;0.1667
184741;6;30;0.2000
186387;5;30;0.1667
186423;5;30;0.1667
187393;5;30;0.1667
187444;6;30;0.2000
189996;5;30;0.1667
192846;6;30;0.2000
193044;5;30;0.1667
195032;5;30;0.1667
195035;6;30;0.2000
197773;5;30;0.1667
199944;6;30;0.2000
201106;5;30;0.1667
203298;6;30;0.2000
204457;5;30;0.1667
212889;5;30;0.1667
212960;6;30;0.2000
213480;6;30;0.2000
221920;6;30;0.2000
222464;5;30;0.1667
227106;7;30;0.2333
227107;7;30;0.2333
227805;5;30;0.1667
229152;5;30;0.1667
241807;6;30;0.2000
244644;5;30;0.1667
245829;6;30;0.2000
245872;6;30;0.2000
248185;5;30;0.1667
250768;5;30;0.1667
282079;5;30;0.1667
285526;6;30;0.2000
286983;5;30;0.1667
288204;5;30;0.1667
315495;5;30;0.1667
319280;5;30;0.1667
321133;5;30;0.1667
322490;5;30;0.1667
339573;5;30;0.1667
